2300	30.22	3	H+V
2350	30.23	3	H+V
2400	30.41	3	H+V
2450	30.57	3	H+V
2500	30.89	3	H+V
2550	31.01	3	H+V
2600	31.33	3	H+V
2650	31.71	3	H+V
2700	31.86	3	H+V
2750	31.75	3	H+V
2800	32.02	3	H+V
2850	32.02	3	H+V
2900	32.85	3	H+V
2950	32.59	3	H+V
3000	32.9	3	H+V
3050	33.23	3	H+V
3100	32.92	3	H+V
3150	32.84	3	H+V
3200	33.15	3	H+V
3250	32.98	3	H+V
3300	33.24	3	H+V
3350	33.69	3	H+V
3400	33.5	3	H+V
3450	33.61	3	H+V
3500	34.17	3	H+V
3550	34.18	3	H+V
3600	34.08	3	H+V
3650	34.68	3	H+V
3700	34.91	3	H+V
3750	34.99	3	H+V
3800	34.9	3	H+V
3850	35.25	3	H+V
3900	34.39	3	H+V
3950	34.38	3	H+V
4000	34.86	3	H+V
4050	34.98	3	H+V
4100	35.23	3	H+V
4150	36.14	3	H+V
4200	35.76	3	H+V
4250	36.32	3	H+V
4300	36.97	3	H+V
4350	35.88	3	H+V
4400	36.08	3	H+V
4450	35.83	3	H+V
4500	35.72	3	H+V
4550	36.15	3	H+V
4600	36.15	3	H+V
4650	36.26	3	H+V
4700	36.35	3	H+V
4750	37.1	3	H+V
4800	37.16	3	H+V
4850	37.53	3	H+V
4900	37.68	3	H+V
4950	37.58	3	H+V
5000	37.06	3	H+V
5100	38.18	3	H+V
5200	36.93	3	H+V
5300	37.56	3	H+V
5400	38.91	3	H+V
5500	38.52	3	H+V
5600	38.81	3	H+V
5700	39.2	3	H+V
5800	39.42	3	H+V
5900	39.23	3	H+V
6000	39.49	3	H+V
6100	40.63	3	H+V
6200	41.53	3	H+V
6300	41.46	3	H+V
6400	41.84	3	H+V
6500	42.8	3	H+V
6600	42.91	3	H+V
6700	43.81	3	H+V
6800	45.44	3	H+V
6900	45.86	3	H+V
7000	47.68	3	H+V
