0.009	-0.08	
0.01	-0.01	
0.02	-0.02	
0.02	-0.01	
0.03	0	
0.03	-0.04	
0.04	-0.02	
0.06	-0.02	
0.08	-0.02	
0.1	-0.01	
0.13	0	
0.17	-0.01	
0.22	-0.03	
0.29	-0.01	
0.38	-0.05	
0.5	-0.03	
0.66	-0.03	
0.86	-0.04	
1.12	-0.05	
1.47	-0.06	
1.92	-0.06	
2.51	-0.07	
3.29	-0.08	
4.3	-0.09	
5.62	-0.11	
7.35	-0.11	
9.61	-0.14	
12.56	-0.14	
16.43	-0.17	
21.48	-0.21	
28.09	-0.22	
36.73	-0.25	
48.03	-0.3	
62.81	-0.35	
82.13	-0.41	
107.39	-0.47	
140.43	-0.55	
196.36	-0.66	
240.11	-0.73	
313.97	-0.86	
410.55	-0.99	
536.84	-1.18	
701.98	-1.37	
917.92	-1.59	
1200.3	-1.86	
1569.5	-2.16	
2052.3	-2.59	
2683.6	-3.09	
3509.1	-3.72	
4588.5	-4.59	
6000	-6.04	
