0.009	-0.01	
0.01	0	
0.01	-0.01	
0.02	-0.03	
0.02	0	
0.03	-0.02	
0.04	-0.01	
0.05	-0.01	
0.06	-0.02	
0.07	-0.02	
0.09	-0.02	
0.12	-0.05	
0.15	-0.06	
0.18	-0.05	
0.23	-0.06	
0.29	-0.06	
0.37	-0.07	
0.47	-0.08	
0.59	-0.08	
0.74	-0.11	
0.94	-0.11	
1.18	-0.13	
1.49	-0.15	
1.88	-0.17	
2.38	-0.19	
3	-0.21	
3.78	-0.24	
4.77	-0.27	
6.02	-0.31	
7.6	-0.35	
9.59	-0.38	
12.1	-0.44	
15.26	-0.5	
19.25	-0.57	
24.29	-0.65	
30.64	-0.73	
38.65	-0.83	
51.68	-0.97	
61.52	-1.07	
77.61	-1.2	
97.91	-1.37	
123.53	-1.56	
155.84	-1.78	
196.6	-2.04	
248	-2.3	
312.9	-2.62	
394.8	-2.98	
498	-3.43	
628.3	-3.92	
792.7	-4.52	
1000	-5.19	
